ID	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010
tax001	0.554042516	0.725848774	0.518831618	0.855926359	0.92386447	0.129092242	0.665993013	0.441566787	0.890165164	0.523848035
tax002	0.873363553	0.222517365	0.038679563	0.231291661	0.266344335	0.772086547	0.246504346	0.006652995	0.265996368	0.484921248
tax003	0.824457868	0.743757612	0.482993252	0.621211456	0.426675531	0.948382349	0.61848952	0.87197317	0.966600454	0.335208098
tax004	0.489029407	0.708292162	0.644220716	0.626373993	0.390162692	0.042234476	0.008504404	0.172548398	0.434320222	0.758654845
tax005	0.069395448	0.778182999	0.582922402	0.164351104	0.020890008	0.423117586	0.074400159	0.116575191	0.682673261	0.91670083
tax006	0.86023674	0.082083223	0.869142513	0.82433324	0.067231985	0.836009412	0.938685245	0.277955882	0.23468049	0.868407105
tax007	0.587185986	0.301023719	0.902041958	0.724380142	0.14217895	0.88747806	0.139954931	0.868080475	0.471511225	0.19517297
tax008	0.558936273	0.21733604	0.353478745	0.536982471	0.007809118	0.562425437	0.140655438	0.389565563	0.421017232	0.375402537
tax009	0.896093128	0.667938264	0.027208033	0.556627634	0.752450484	0.902198729	0.820179934	0.014045882	0.888197174	0.26203894
tax010	0.452326279	0.78562044	0.680324767	0.412714785	0.145373683	0.176746023	0.305313657	0.255807082	0.66550803	0.090032679
tax011	0.185892409	0.000651734	0.345383108	0.961086565	0.893883075	0.507539857	0.432920648	0.694374336	0.677974977	0.742654952
tax012	0.848176728	0.347493163	0.366833066	0.379251209	0.594171072	0.209585264	0.892471546	0.581826958	0.194378503	0.87275961
tax013	0.356942032	0.090720633	0.821641495	0.798651747	0.990709399	0.621402934	0.848654061	0.547136982	0.523319102	0.410839606
tax014	0.210672501	0.989645636	0.288875844	0.201008812	0.240578169	0.249617403	0.557814422	0.42018977	0.849455758	0.755211468
tax015	0.630420923	0.385912834	0.511064798	0.680590548	0.822282511	0.253476906	0.312836748	0.451918368	0.477228891	0.519073886
